nombre;ID;marca;modelo;tipo_mecanica;km_ocasion;ano_unidad;anos_vehiculo;tipo_carroceria;reductoras;traccion;score_total;puntuacion_base;ajustes_experto;dbg_score_estetica;estetica;dbg_score_premium;premium;dbg_score_singular;singular;dbg_score_altura_libre;altura_libre_suelo;dbg_score_batalla;batalla;dbg_score_altura_interior;indice_altura_interior;dbg_score_ancho;ancho;dbg_score_largo;largo;dbg_score_devaluacion;devaluacion;dbg_score_maletero_min;maletero_minimo;dbg_score_maletero_max;maletero_maximo;dbg_score_bajo_peso;peso;dbg_score_par_remolque;par;dbg_score_remolque_cf;capacidad_remolque_con_freno;dbg_score_remolque_sf;capacidad_remolque_sin_freno;dbg_score_menor_superficie;superficie_planta;dbg_score_menor_giro;diametro_giro;dbg_score_menor_largo;largo;dbg_score_menor_ancho;ancho;dbg_score_menor_alto;alto;dbg_score_deportividad;deportividad;dbg_score_menor_rel_peso_pot;relacion_peso_potencia;dbg_score_potencia;potencia_maxima;dbg_score_par_deportivo;par;dbg_score_menor_aceleracion;aceleracion_0_100;dbg_score_autonomia_max;autonomia_uso_maxima;dbg_score_autonomia_2nd;autonomia_uso_2nd_drive;dbg_score_menor_t_carga;tiempo_carga_min;dbg_score_pot_carga_ac;potencia_maxima_carga_ac;dbg_score_pot_carga_dc;potencia_maxima_carga_dc;dbg_pen_km_extremo;dbg_pen_puertas;dbg_pen_low_cost_comodidad;dbg_pen_deportividad_comodidad;dbg_pen_antiguedad;dbg_ajuste_distintivo;dbg_bonus_ocasion_ambiental;dbg_ajuste_zbe;dbg_pen_bev_reev_avent_ocas;dbg_pen_phev_avent_ocas;dbg_pen_electrif_avent_extr;dbg_bonus_car_montana;dbg_bonus_car_comercial;dbg_bonus_car_pasajeros;dbg_pen_car_no_aventura;dbg_bonus_suv_avent_ocas;dbg_bonus_tt_avent_extr;dbg_bonus_pickup_avent_extr;dbg_ajuste_objetos_especiales;dbg_bonus_car_confort;dbg_bonus_ocasion_uso_ocas;dbg_pen_electrif_uso_ocas;dbg_bonus_bev_uso_definido;dbg_pen_phev_uso_intensivo;dbg_bonus_punto_carga;dbg_ajuste_awd_aventura;dbg_bonus_awd_nieve;dbg_bonus_awd_montana;dbg_bonus_reductoras;dbg_ajuste_diesel_ciudad;dbg_ajuste_km_anuales;dbg_bonus_seguridad;seguridad;dbg_bonus_fiabilidad;fiabilidad;dbg_bonus_durabilidad;durabilidad;dbg_bonus_bajo_consumo;indice_consumo_energia;costes_de_uso;dbg_bonus_coste_uso;dbg_bonus_coste_mantenimiento;costes_mantenimiento
Toyota Land Cruiser 2.8 D-4D (3-puertas);287657;Toyota;Land Cruiser J7/J9/J12/J15;DIESEL;235518;2018;7;TODOTERRENO;True;ALL;191.0510;43.4072;147.6438;0.3165;4.0000;0.5307;5.0000;0.0000;1.0000;13.2773;205.0000;0.5046;2450.0000;0.6635;1.6250;1.0808;1885.0000;0.5527;4395.0000;0.5854;9.0000;0.0513;381.0000;0.1593;1434.0000;0.4404;2065.0000;2.8729;450.0000;6.1037;3000.0000;4.6880;750.0000;0.5165;8.3000;4.0824;10.4000;0.7399;4395.0000;0.6228;1885.0000;0.7669;1830.0000;0.0000;1.0000;1.2730;11.7000;0.2701;177.0000;0.5083;450.0000;1.2651;12.1000;1.5352;945.7000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.9000;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;-10.0000;0.7956;7.2000;14.3395;10.0000;17.6422;10.0000;13.3323;40.1000;12.4000;19.0165;10.4178;4.0000
Suzuki Jimny 1.3 Club ALLGRIP PRO;250187;Suzuki;Jimny;GASOLINA;116780;2017;8;TODOTERRENO;True;ALL;186.1645;32.0159;154.1486;0.2110;3.0000;0.1327;2.0000;0.0757;3.0000;11.6967;190.0000;0.3784;2250.0000;0.5628;1.5150;0.4323;1600.0000;0.3538;3695.0000;0.5854;9.0000;0.0141;113.0000;0.0901;816.0000;0.7258;1135.0000;0.4847;110.0000;2.5257;1300.0000;2.0654;350.0000;0.7340;5.9000;4.5535;9.8000;0.9982;3695.0000;1.2590;1600.0000;0.8533;1705.0000;0.1398;3.0000;1.1349;13.5000;0.0854;84.0000;0.0858;110.0000;1.1496;14.1000;0.6881;440.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.3500;-0.3333;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.3080;3.4000;14.3395;10.0000;15.6819;9.0000;9.9023;64.0000;12.7000;18.7098;13.8905;2.0000
Mitsubishi Montero 3.2 DI-D (3-puertas);243256;Mitsubishi;Montero;DIESEL;65000;2016;9;TODOTERRENO;True;ALL;181.7171;42.3330;139.3841;0.2110;3.0000;0.1327;2.0000;0.0757;3.0000;13.8042;210.0000;0.5645;2545.0000;0.6680;1.6300;1.0580;1875.0000;0.5499;4385.0000;0.2602;4.0000;0.0387;290.0000;0.1240;1119.0000;0.4051;2180.0000;2.8097;441.0000;5.6827;2800.0000;4.6880;750.0000;0.5256;8.2000;3.9254;10.6000;0.7436;4385.0000;0.6451;1875.0000;0.7600;1840.0000;0.0000;1.0000;1.3343;10.9000;0.3158;200.0000;0.4971;441.0000;1.4037;9.7000;1.1100;692.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0500;-0.0000;0.0000;-8.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.7314;6.7000;12.7462;9.0000;13.7217;8.0000;13.1888;41.1000;13.5000;17.8919;12.1541;3.0000
Ford Ranger Doppelkabine 2.0 TDCi XLT 4x4;296933;Ford;Ranger;DIESEL;83883;2021;4;PICKUP;True;ALL;174.6799;45.4778;129.2021;0.3165;4.0000;0.5307;5.0000;0.0000;1.0000;16.6494;237.0000;0.9902;3220.0000;0.6204;1.5780;1.0398;1867.0000;0.8048;5282.0000;0.2602;4.0000;0.1370;1000.0000;0.1107;1000.0000;0.4011;2193.0000;2.6622;420.0000;7.1561;3500.0000;4.6880;750.0000;0.3715;9.9000;2.2767;12.7000;0.4126;5282.0000;0.6630;1867.0000;0.7773;1815.0000;0.0000;1.0000;1.1810;12.9000;0.2562;170.0000;0.4710;420.0000;1.2940;11.6000;1.4075;869.6000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0500;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.8597;7.7000;9.5597;7.0000;13.7217;8.0000;13.6767;37.7000;12.4000;19.0165;10.4178;4.0000
Land Rover Discovery Sd4 HSE automatico;261877;Land Rover;Discovery;DIESEL;53989;2020;5;TODOTERRENO;True;ALL;174.0542;45.6754;128.3787;0.6329;7.0000;0.9287;8.0000;0.1513;5.0000;14.8580;220.0000;0.8022;2922.0000;0.6644;1.6260;1.5085;2073.0000;0.7161;4970.0000;0.0650;1.0000;0.1690;1231.0000;0.2786;2500.0000;0.4250;2115.0000;3.2242;500.0000;7.1561;3500.0000;4.6880;750.0000;0.3353;10.3000;2.2767;12.7000;0.5277;4970.0000;0.2031;2073.0000;0.7559;1846.0000;0.0699;2.0000;1.4954;8.8000;0.3953;240.0000;0.5705;500.0000;1.4846;8.3000;1.2931;801.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.3000;-0.1667;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.9367;8.3000;0.0000;1.0000;9.8012;6.0000;13.2318;40.8000;13.0000;18.4031;3.4726;8.0000
Nissan Terrano I 2.4 4x4 (3-puertas);264092;Nissan;Terrano;GASOLINA;100000;1995;30;TODOTERRENO;True;ALL;172.5727;34.5376;138.0352;0.3165;4.0000;0.1327;2.0000;0.0378;2.0000;12.2236;195.0000;0.6307;2650.0000;0.5445;1.4950;0.7281;1730.0000;0.5442;4365.0000;0.2602;4.0000;0.0585;433.0000;0.1725;1552.0000;0.5628;1666.0000;0.9553;177.0000;3.9990;2000.0000;3.0489;500.0000;0.5799;7.6000;3.4544;11.2000;0.7509;4365.0000;0.9688;1730.0000;0.8636;1690.0000;0.0000;1.0000;0.9279;16.2000;0.1231;103.0000;0.1690;177.0000;1.0109;16.5000;1.4738;909.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0500;-0.0000;0.0000;-8.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0642;1.5000;12.7462;9.0000;13.7217;8.0000;13.0165;42.3000;12.3000;19.1187;10.4178;4.0000
Fiat Fullback Double Cab 2.4 TD SX Plus 4x4;259622;Fiat;Fullback;DIESEL;94487;2018;7;PICKUP;True;ALL;171.7748;41.2082;130.5666;0.5274;6.0000;0.2653;3.0000;0.0378;2.0000;12.7505;200.0000;0.8514;3000.0000;0.6177;1.5750;0.8532;1785.0000;0.7886;5225.0000;0.3252;5.0000;0.1370;1000.0000;0.1107;1000.0000;0.4772;1945.0000;2.3812;380.0000;6.3142;3100.0000;4.6880;750.0000;0.4259;9.3000;2.9833;11.8000;0.4336;5225.0000;0.8460;1785.0000;0.8049;1775.0000;0.0000;1.0000;1.2040;12.6000;0.2244;154.0000;0.4213;380.0000;1.3633;10.4000;1.3758;850.7000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.2000;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.7956;7.2000;9.5597;7.0000;11.7614;7.0000;13.2318;40.8000;11.9000;19.5277;13.8905;2.0000
Nissan Navara Double Cab 2.3 dCi Tekna 4x4;251533;Nissan;Navara;DIESEL;41000;2018;7;PICKUP;True;ALL;163.2473;42.2263;121.0209;0.3165;4.0000;0.1327;2.0000;0.0378;2.0000;14.5419;217.0000;0.9460;3150.0000;0.6296;1.5880;1.0011;1850.0000;0.8185;5330.0000;0.2602;4.0000;0.1370;1000.0000;0.1107;1000.0000;0.4533;2023.0000;2.5428;403.0000;7.1561;3500.0000;4.6880;750.0000;0.3715;9.9000;1.4131;13.8000;0.3948;5330.0000;0.7009;1850.0000;0.7842;1805.0000;0.0000;1.0000;1.2193;12.4000;0.2423;163.0000;0.4499;403.0000;1.2882;11.7000;1.5899;978.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0500;-0.0000;0.0000;-8.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.8597;7.7000;12.7462;9.0000;13.7217;8.0000;13.8776;36.3000;11.0000;20.4478;10.4178;4.0000
Jeep Wrangler 2.8 CRD Sport;216091;Jeep;Wrangler;DIESEL;126500;2008;17;TODOTERRENO;True;ALL;159.8386;46.9701;112.8685;0.5274;6.0000;0.6633;6.0000;0.1135;4.0000;18.9676;259.0000;0.4882;2424.0000;0.5866;1.5410;1.0535;1873.0000;0.5039;4223.0000;0.2602;4.0000;0.0664;490.0000;0.1778;1600.0000;0.4925;1895.0000;2.9432;460.0000;3.9990;2000.0000;4.6880;750.0000;0.5528;7.9000;4.0824;10.4000;0.8033;4223.0000;0.6496;1873.0000;0.7876;1800.0000;0.1398;3.0000;1.3497;10.7000;0.2701;177.0000;0.5207;460.0000;1.3171;11.2000;0.9659;606.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.4500;-0.3333;0.0000;-8.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;-10.0000;0.4491;4.5000;6.3731;5.0000;9.8012;6.0000;11.6819;51.6000;14.7000;16.6650;8.6815;5.0000
Mitsubishi Montero iO 1.8 (3-puertas);108355;Mitsubishi;Montero iO;GASOLINA;143450;2002;23;TODOTERRENO;True;ALL;159.1417;38.2994;120.8423;0.2110;3.0000;0.1327;2.0000;0.0757;3.0000;15.9117;230.0000;0.3973;2280.0000;0.5536;1.5050;0.6143;1680.0000;0.3652;3735.0000;0.2602;4.0000;0.0215;166.0000;0.0884;801.0000;0.6659;1330.0000;0.8359;160.0000;2.9466;1500.0000;4.0979;660.0000;0.6978;6.3000;4.0039;10.5000;0.9834;3735.0000;1.0804;1680.0000;0.8325;1735.0000;0.0000;1.0000;1.2730;11.7000;0.1450;114.0000;0.1479;160.0000;1.2766;11.9000;0.6809;436.6000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0500;-0.0000;0.0000;-8.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;-10.0000;0.2438;2.9000;12.7462;9.0000;13.7217;8.0000;8.6107;73.0000;16.9000;14.4157;12.1541;3.0000
Land Rover Discovery Si6 HSE automatico;261882;Land Rover;Discovery;GASOLINA;181565;2017;8;TODOTERRENO;True;ALL;158.2151;51.8830;106.3321;0.6329;7.0000;0.9287;8.0000;0.1513;5.0000;21.4966;283.0000;0.8029;2923.0000;0.6067;1.5630;1.5085;2073.0000;0.7161;4970.0000;0.0650;1.0000;0.1690;1231.0000;0.2786;2500.0000;0.4127;2155.0000;2.8729;450.0000;7.1561;3500.0000;4.6880;750.0000;0.3353;10.3000;2.2767;12.7000;0.5277;4970.0000;0.2031;2073.0000;0.7559;1846.0000;0.0699;2.0000;1.6871;6.3000;0.5939;340.0000;0.5083;450.0000;1.5539;7.1000;0.8850;558.2000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.3000;-0.1667;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;-10.0000;0.9367;8.3000;0.0000;1.0000;9.8012;6.0000;10.5912;59.2000;22.2000;8.9971;3.4726;8.0000
Jeep Wrangler Soft Top 2.4 Sport;111986;Jeep;Wrangler;GASOLINA;106000;1999;26;TODOTERRENO;True;ALL;155.5973;39.1591;116.4382;0.5274;6.0000;0.6633;6.0000;0.1135;4.0000;15.2795;224.0000;0.4560;2373.0000;0.6021;1.5580;0.7509;1740.0000;0.4072;3883.0000;0.2602;4.0000;0.0428;320.0000;0.1157;1045.0000;0.5877;1585.0000;1.2222;215.0000;3.8306;1920.0000;2.7210;450.0000;0.6524;6.8000;4.2394;10.2000;0.9288;3883.0000;0.9465;1740.0000;0.8001;1782.0000;0.1398;3.0000;1.3190;11.1000;0.2026;143.0000;0.2163;215.0000;1.2766;11.9000;0.8575;541.8000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.4500;-0.3333;0.0000;-8.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.1283;2.0000;6.3731;5.0000;9.8012;6.0000;9.4574;67.1000;18.5000;12.7799;8.6815;5.0000
Suzuki Vitara 1.6 de Luxe (3-puertas);983593;Suzuki;Vitara;GASOLINA;122000;1999;26;TODOTERRENO;True;ALL;154.3684;28.6014;125.7670;0.2110;3.0000;0.1327;2.0000;0.0757;3.0000;6.4279;140.0000;0.3469;2200.0000;0.5719;1.5250;0.5006;1630.0000;0.3325;3620.0000;0.5854;9.0000;0.0265;202.0000;0.0933;845.0000;0.7350;1105.0000;0.6392;132.0000;2.9466;1500.0000;3.2128;525.0000;0.7340;5.9000;4.4750;9.9000;1.0259;3620.0000;1.1920;1630.0000;0.8809;1665.0000;0.1398;3.0000;1.2960;11.4000;0.1112;97.0000;0.1131;132.0000;1.2131;13.0000;0.5826;378.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.3500;-0.3333;0.0000;-8.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;-10.0000;0.1283;2.0000;14.3395;10.0000;15.6819;9.0000;7.5631;80.3000;15.5000;15.8471;13.8905;2.0000
